plan,cut_edges,polsby_popper,density_score,pop_dev,contiguous
234,17.0,0.5515240436302081,0.7,0.0,1.0
235,18.0,0.5131268000863328,0.7,0.0,1.0
236,19.0,0.4747295565424576,0.6,0.0,1.0
237,18.0,0.5131268000863328,0.75,0.0,1.0
238,18.0,0.5131268000863328,0.65,0.0,1.0
239,19.0,0.4747295565424576,0.6,0.0,1.0
240,18.0,0.5131268000863328,0.6,0.0,1.0
241,17.0,0.5515240436302081,0.6,0.0,1.0
242,18.0,0.5131268000863328,0.7,0.0,1.0
243,19.0,0.4747295565424576,0.6,0.0,1.0
244,19.0,0.4747295565424576,0.6,0.0,1.0
245,19.0,0.4747295565424576,0.7,0.0,1.0
246,19.0,0.4747295565424576,0.6,0.0,1.0
247,18.0,0.5131268000863328,0.6,0.0,1.0
248,18.0,0.5131268000863328,0.55,0.0,1.0
249,18.0,0.5131268000863328,0.7,0.0,1.0
250,18.0,0.5131268000863328,0.7,0.0,1.0
251,17.0,0.5515240436302081,0.65,0.0,1.0
252,19.0,0.4747295565424576,0.65,0.0,1.0
253,18.0,0.5131268000863328,0.6,0.0,1.0
254,18.0,0.5131268000863328,0.65,0.0,1.0
255,18.0,0.5131268000863328,0.7,0.0,1.0
256,19.0,0.4747295565424576,0.6,0.0,1.0
257,18.0,0.5131268000863328,0.6,0.0,1.0
258,18.0,0.5131268000863328,0.55,0.0,1.0
259,19.0,0.4747295565424576,0.6,0.0,1.0
260,18.0,0.5131268000863328,0.6,0.0,1.0
261,19.0,0.4747295565424576,0.5,0.0,1.0
262,19.0,0.4747295565424577,0.8,0.0,1.0
263,19.0,0.4747295565424577,0.7,0.0,1.0
264,20.0,0.43633231299858244,0.7,0.0,1.0
265,19.0,0.4747295565424576,0.8,0.0,1.0
266,19.0,0.4747295565424577,0.75,0.0,1.0
267,19.0,0.4747295565424576,0.75,0.0,1.0
268,19.0,0.4747295565424576,0.65,0.0,1.0
269,19.0,0.4747295565424576,0.65,0.0,1.0
270,19.0,0.4747295565424577,0.7,0.0,1.0
